Run,Stimulus,Condition,Code,Catch,Break,Responses,Timing
1,C:/Users/meglab/EExperiments/Sebastian/BlenderPilot/Stimuli/0122_Left.png,0122_Left,5,0,0,0,3.083147700000154
1,C:/Users/meglab/EExperiments/Sebastian/BlenderPilot/Stimuli/0202_Right.png,0202_Right,10,0,0,0,3.0831293999999616
1,C:/Users/meglab/EExperiments/Sebastian/BlenderPilot/Stimuli/0067_Left.png,0067_Left,3,0,0,0,3.0829484000000775
1,C:/Users/meglab/EExperiments/Sebastian/BlenderPilot/Stimuli/0022_Right.png,0022_Right,2,0,0,0,3.083143299999847
1,C:/Users/meglab/EExperiments/Sebastian/BlenderPilot/Stimuli/0337_Right.png,0337_Right,16,0,0,0,3.0831500000001597
1,C:/Users/meglab/EExperiments/Sebastian/BlenderPilot/Stimuli/0157_Right.png,0157_Right,8,0,0,0,3.083159499999965
1,C:/Users/meglab/EExperiments/Sebastian/BlenderPilot/Stimuli/0157_Left.png,0157_Left,7,0,0,0,3.0831296000001203
1,C:/Users/meglab/EExperiments/Sebastian/BlenderPilot/Stimuli/0157_Left.png,0337_Right,17,1,0,1,3.1497832000000017
1,C:/Users/meglab/EExperiments/Sebastian/BlenderPilot/Stimuli/0247_Right.png,0247_Right,12,0,0,0,3.08263090000014
1,C:/Users/meglab/EExperiments/Sebastian/BlenderPilot/Stimuli/0247_Left.png,0247_Left,11,0,0,0,3.0829429000000346
1,C:/Users/meglab/EExperiments/Sebastian/BlenderPilot/Stimuli/0067_Right.png,0067_Right,4,0,1,0,3.0831521000000066
1,C:/Users/meglab/EExperiments/Sebastian/BlenderPilot/Stimuli/0022_Left.png,0022_Left,1,0,0,0,3.083244299999933
1,C:/Users/meglab/EExperiments/Sebastian/BlenderPilot/Stimuli/0337_Left.png,0337_Left,15,0,0,0,3.0831496000000698
1,C:/Users/meglab/EExperiments/Sebastian/BlenderPilot/Stimuli/0122_Right.png,0122_Right,6,0,0,0,3.0831324000000677
1,C:/Users/meglab/EExperiments/Sebastian/BlenderPilot/Stimuli/0122_Right.png,0202_Right,17,1,0,1,3.0831271000001834
1,C:/Users/meglab/EExperiments/Sebastian/BlenderPilot/Stimuli/0292_Right.png,0292_Right,14,0,0,0,3.083128400000078
1,C:/Users/meglab/EExperiments/Sebastian/BlenderPilot/Stimuli/0202_Left.png,0202_Left,9,0,0,0,3.0829584000000523
1,C:/Users/meglab/EExperiments/Sebastian/BlenderPilot/Stimuli/0292_Left.png,0292_Left,13,0,0,0,3.08316190000005
2,C:/Users/meglab/EExperiments/Sebastian/BlenderPilot/Stimuli/0337_Left.png,0337_Left,15,0,0,0,3.0830712000001768
2,C:/Users/meglab/EExperiments/Sebastian/BlenderPilot/Stimuli/0202_Right.png,0202_Right,10,0,0,0,3.0831077000000278
2,C:/Users/meglab/EExperiments/Sebastian/BlenderPilot/Stimuli/0292_Right.png,0292_Right,14,0,0,0,3.0831061000001228
2,C:/Users/meglab/EExperiments/Sebastian/BlenderPilot/Stimuli/0292_Right.png,0337_Left,17,1,0,1,3.08294960000012
2,C:/Users/meglab/EExperiments/Sebastian/BlenderPilot/Stimuli/0157_Left.png,0157_Left,7,0,1,0,3.083040600000004
2,C:/Users/meglab/EExperiments/Sebastian/BlenderPilot/Stimuli/0337_Right.png,0337_Right,16,0,0,0,3.083156400000007
