Run,Stimulus,Condition,Code,Catch,Break,Responses,Timing
1,/Users/montesinossl/desktop/BlenderExp/Stimuli/0067_Right.png,0067_Right,4,0,0,0,2.9665202000178397
1,/Users/montesinossl/desktop/BlenderExp/Stimuli/0112_Right.png,0112_Right,6,0,0,0,2.9663201000075787
1,/Users/montesinossl/desktop/BlenderExp/Stimuli/0022_Left.png,0022_Left,1,0,0,0,2.96630740002729
1,/Users/montesinossl/desktop/BlenderExp/Stimuli/0337_Right.png,0337_Right,16,0,0,0,2.966556800005492
1,/Users/montesinossl/desktop/BlenderExp/Stimuli/0292_Right.png,0292_Right,14,0,0,0,2.966535300016403
1,/Users/montesinossl/desktop/BlenderExp/Stimuli/0247_Right.png,0247_Right,12,0,0,0,2.96634919999633
1,/Users/montesinossl/desktop/BlenderExp/Stimuli/0157_Left.png,0157_Left,7,0,0,0,2.966532799997367
1,/Users/montesinossl/desktop/BlenderExp/Stimuli/0157_Left.png,0067_Left,17,1,0,0,2.9664550999877974
1,/Users/montesinossl/desktop/BlenderExp/Stimuli/0202_Right.png,0202_Right,10,0,0,0,2.96626820001984
1,/Users/montesinossl/desktop/BlenderExp/Stimuli/0337_Left.png,0337_Left,15,0,0,0,2.9663291000179015
1,/Users/montesinossl/desktop/BlenderExp/Stimuli/0067_Left.png,0067_Left,3,0,1,0,2.9664777999860235
1,/Users/montesinossl/desktop/BlenderExp/Stimuli/0112_Left.png,0112_Left,5,0,0,0,2.9664953000028618
1,/Users/montesinossl/desktop/BlenderExp/Stimuli/0202_Left.png,0202_Left,9,0,0,0,2.966516300046351
1,/Users/montesinossl/desktop/BlenderExp/Stimuli/0247_Left.png,0247_Left,11,0,0,0,2.96628219995182
1,/Users/montesinossl/desktop/BlenderExp/Stimuli/0247_Left.png,0112_Left,17,1,0,0,2.966533500002697
1,/Users/montesinossl/desktop/BlenderExp/Stimuli/0022_Right.png,0022_Right,2,0,0,0,2.966524399991613
1,/Users/montesinossl/desktop/BlenderExp/Stimuli/0157_Right.png,0157_Right,8,0,0,0,2.9663300999673083
1,/Users/montesinossl/desktop/BlenderExp/Stimuli/0292_Left.png,0292_Left,13,0,0,0,2.9663286000140943
2,/Users/montesinossl/desktop/BlenderExp/Stimuli/0337_Right.png,0337_Right,16,0,0,0,2.9665336000034586
2,/Users/montesinossl/desktop/BlenderExp/Stimuli/0202_Right.png,0202_Right,10,0,0,0,2.9664942999952473
2,/Users/montesinossl/desktop/BlenderExp/Stimuli/0112_Left.png,0112_Left,5,0,0,0,2.9665417000069283
2,/Users/montesinossl/desktop/BlenderExp/Stimuli/0112_Left.png,0022_Right,17,1,0,0,2.966526900010649
2,/Users/montesinossl/desktop/BlenderExp/Stimuli/0022_Left.png,0022_Left,1,0,1,0,2.9665336000034586
2,/Users/montesinossl/desktop/BlenderExp/Stimuli/0022_Right.png,0022_Right,2,0,0,0,2.9663200000068173
2,/Users/montesinossl/desktop/BlenderExp/Stimuli/0292_Left.png,0292_Left,13,0,0,0,2.9661884999950416
2,/Users/montesinossl/desktop/BlenderExp/Stimuli/0337_Left.png,0337_Left,15,0,0,0,2.9663171999854967
2,/Users/montesinossl/desktop/BlenderExp/Stimuli/0292_Right.png,0292_Right,14,0,0,0,2.9665124000166543
2,/Users/montesinossl/desktop/BlenderExp/Stimuli/0157_Right.png,0157_Right,8,0,0,0,2.966326800000388
2,/Users/montesinossl/desktop/BlenderExp/Stimuli/0157_Right.png,0112_Right,17,1,0,0,2.96652349998476
2,/Users/montesinossl/desktop/BlenderExp/Stimuli/0247_Left.png,0247_Left,11,0,0,0,2.966348099987954
2,/Users/montesinossl/desktop/BlenderExp/Stimuli/0247_Right.png,0247_Right,12,0,0,0,2.9663570999982767
2,/Users/montesinossl/desktop/BlenderExp/Stimuli/0157_Left.png,0157_Left,7,0,0,0,2.966331799980253
2,/Users/montesinossl/desktop/BlenderExp/Stimuli/0202_Left.png,0202_Left,9,0,0,0,2.9663685000268742
2,/Users/montesinossl/desktop/BlenderExp/Stimuli/0112_Right.png,0112_Right,6,0,1,0,2.965805999992881
2,/Users/montesinossl/desktop/BlenderExp/Stimuli/0067_Right.png,0067_Right,4,0,0,0,2.9662824000115506
2,/Users/montesinossl/desktop/BlenderExp/Stimuli/0067_Right.png,0292_Right,17,1,0,0,2.9665376999764703
