Run,Stimulus,Condition,Code,Catch,Break,Responses,Timing
1,C:/Users/meglab/EExperiments/Sebastian/BlenderPilot/Stimuli/0247_Left.png,0247_Left,11,0,0,0,3.0830480000004172
1,C:/Users/meglab/EExperiments/Sebastian/BlenderPilot/Stimuli/0202_Left.png,0202_Left,9,0,0,0,3.0830630000000383
1,C:/Users/meglab/EExperiments/Sebastian/BlenderPilot/Stimuli/0067_Right.png,0067_Right,4,0,0,0,3.082946600001378
1,C:/Users/meglab/EExperiments/Sebastian/BlenderPilot/Stimuli/0022_Left.png,0022_Left,1,0,0,0,3.082872099999804
1,C:/Users/meglab/EExperiments/Sebastian/BlenderPilot/Stimuli/0292_Left.png,0292_Left,13,0,0,0,3.082948999999644
1,C:/Users/meglab/EExperiments/Sebastian/BlenderPilot/Stimuli/0337_Right.png,0337_Right,16,0,0,0,3.0830893000002106
1,C:/Users/meglab/EExperiments/Sebastian/BlenderPilot/Stimuli/0202_Right.png,0202_Right,10,0,0,0,3.083111600000848
1,C:/Users/meglab/EExperiments/Sebastian/BlenderPilot/Stimuli/0202_Right.png,0247_Left,10,1,0,1,3.149793699998554
1,C:/Users/meglab/EExperiments/Sebastian/BlenderPilot/Stimuli/0337_Left.png,0337_Left,15,0,0,0,3.0831247999994957
1,C:/Users/meglab/EExperiments/Sebastian/BlenderPilot/Stimuli/0247_Right.png,0247_Right,12,0,0,0,3.083099299999958
1,C:/Users/meglab/EExperiments/Sebastian/BlenderPilot/Stimuli/0122_Right.png,0122_Right,6,0,1,0,3.0828811999999743
1,C:/Users/meglab/EExperiments/Sebastian/BlenderPilot/Stimuli/0292_Right.png,0292_Right,14,0,0,0,3.0831319999997504
1,C:/Users/meglab/EExperiments/Sebastian/BlenderPilot/Stimuli/0067_Left.png,0067_Left,3,0,0,0,3.0828997999997227
1,C:/Users/meglab/EExperiments/Sebastian/BlenderPilot/Stimuli/0157_Right.png,0157_Right,8,0,0,0,3.082909599999766
1,C:/Users/meglab/EExperiments/Sebastian/BlenderPilot/Stimuli/0157_Right.png,0067_Right,8,1,0,1,3.083154400001149
1,C:/Users/meglab/EExperiments/Sebastian/BlenderPilot/Stimuli/0022_Right.png,0022_Right,2,0,0,0,3.0830550999999105
